timestamp_ms,x,y,radius
1780507755854,76,145,65
1780507755963,105,91,77
1780507756068,157,128,32
1780507756315,157,131,40
1780507756416,158,141,34
1780507756537,160,128,36
1780507756727,161,202,37
1780507756835,160,123,36
1780507757036,85,145,46
1780507757138,163,130,34
1780507757336,158,142,34
1780507757532,163,127,33
1780507757641,160,129,36
1780507757841,161,131,34
1780507758037,161,128,33
1780507758144,160,131,36
1780507758342,160,133,36
1780507758544,158,145,34
1780507758773,157,145,33
