timestamp_ms,x,y,radius
1780506852426,127,133,77
1780506852627,127,133,75
1780506852733,163,123,33
1780506852930,125,133,75
1780506853037,163,125,33
1780506853141,160,107,27
1780506853335,163,125,34
1780506853449,163,115,35
1780506853554,128,130,73
1780506853668,122,133,78
1780506853862,157,112,31
1780506854061,157,110,29
1780506854169,127,134,73
1780506854365,148,135,49
1780506854472,158,125,42
1780506854671,157,117,40
1780506854779,148,135,48
1780506854966,155,118,35
1780506855084,161,107,37
1780506855280,127,134,73
1780506855381,148,135,49
1780506855484,154,118,36
1780506855702,125,134,74
1780506855837,161,125,33
1780506855944,124,135,75
1780506856046,83,146,43
1780506856150,125,135,78
1780506856267,166,124,32
1780506856368,127,135,75
1780506856478,161,124,41
1780506856590,163,110,27
1780506856782,164,128,34
1780506856984,160,115,31
1780506857187,169,123,34
1780506857288,169,124,34
1780506857389,166,129,35
1780506857584,158,119,36
1780506857686,159,115,32
1780506857899,125,135,77
1780506858106,164,131,36
1780506858208,157,117,31
1780506858310,158,113,31
1780506858413,127,137,70
1780506858607,151,119,55
1780506858714,139,125,78
1780506858919,190,119,35
1780506859138,203,94,31
1780506859382,235,129,33
1780506859503,230,111,33
1780506859619,205,64,30
1780506859728,203,32,34
1780506860045,235,104,59
1780506860643,119,65,32
1780506860869,171,75,20
1780506861345,185,49,33
