timestamp_ms,x,y,radius
1780525207203,62,52,43
1780525207368,55,61,42
1780525207478,103,80,38
1780525207584,52,57,39
1780525207717,106,80,39
1780525207847,73,45,51
1780525207966,61,52,42
1780525208165,73,45,51
1780525208364,103,80,38
1780525208562,85,38,70
1780525208665,103,80,38
1780525208864,103,80,38
1780525209066,57,55,38
1780525209167,76,45,54
1780525209277,57,55,38
1780525209467,106,80,39
1780525209666,85,38,70
1780525209767,65,61,51
1780525209966,103,79,38
1780525210067,65,61,51
1780525210169,50,65,36
1780525210274,83,39,69
1780525210470,59,52,41
1780525210672,65,61,51
1780525210871,106,80,40
1780525211072,50,65,36
1780525211273,106,81,40
1780525211479,106,80,39
1780525211676,85,38,70
1780525211876,73,45,51
1780525212075,55,61,42
1780525212177,56,56,37
1780525212278,65,61,51
1780525212479,50,70,42
1780525212579,50,65,36
1780525212681,50,67,35
1780525212878,50,65,36
1780525212980,73,45,51
1780525213082,50,65,36
1780525213182,65,49,43
1780525213380,73,45,51
1780525213483,65,49,43
1780525213583,103,79,38
1780525213688,57,53,39
1780525213887,50,65,37
1780525214087,106,80,39
1780525214187,50,65,36
1780525214289,50,65,36
1780525214545,57,53,39
1780525214741,50,65,36
1780525214842,55,61,42
1780525215042,55,61,42
1780525215144,80,41,59
1780525215342,104,80,38
1780525215444,53,61,41
1780525215551,44,75,36
1780525215743,57,52,39
1780525215845,56,52,38
1780525215946,106,80,39
1780525216049,53,61,41
1780525216161,53,61,41
1780525216350,55,61,41
1780525216455,106,80,39
1780525216670,86,37,67
1780525216794,53,61,41
1780525216897,103,80,38
