timestamp_ms,x,y,radius
1780507701802,128,141,63
1780507701904,239,188,55
1780507702099,85,137,46
1780507702210,161,119,33
1780507702353,157,134,33
1780507702454,128,131,64
1780507702564,155,134,33
1780507702665,155,135,34
1780507702863,154,136,34
1780507702963,157,195,36
1780507703160,158,137,37
1780507703268,158,128,37
1780507703370,154,136,34
1780507703471,151,124,33
1780507703671,149,136,45
1780507703872,111,145,50
1780507703975,157,124,35
1780507704171,155,139,33
1780507704272,137,136,58
1780507704485,151,123,32
1780507704687,137,135,58
