timestamp_ms,x,y,radius
1780507771508,88,161,75
1780507771613,125,166,78
1780507771714,127,136,70
1780507771814,83,131,43
1780507771992,88,133,49
1780507772210,135,128,67
1780507772310,87,148,61
1780507772498,85,131,52
1780507772608,129,141,71
1780507772709,143,141,57
1780507772809,85,131,49
1780507772910,85,133,47
1780507773104,86,135,46
1780507773211,130,137,67
1780507773415,123,134,50
1780507773532,127,170,78
1780507773632,153,125,49
1780507773735,83,134,49
1780507773930,164,136,34
1780507774133,131,133,71
1780507774337,87,134,47
1780507774455,157,124,49
