timestamp_ms,x,y,radius
1780507438222,86,190,46
1780507438337,155,172,62
1780507438658,177,160,37
1780507439154,173,167,43
1780507439380,172,167,43
1780507439580,173,163,38
1780507439680,177,161,36
1780507440183,173,163,38
1780507440494,175,160,36
1780507440688,175,160,36
1780507441291,176,164,38
1780507441519,170,167,45
1780507441629,170,167,44
1780507441830,175,164,38
1780507442130,166,171,49
1780507442897,175,164,38
1780507443099,175,166,40
1780507443395,181,164,33
1780507443709,175,167,42
1780507443913,178,165,37
1780507444017,181,161,32
1780507444207,178,164,36
1780507444414,181,166,35
1780507444629,177,164,36
1780507445255,181,163,33
1780507445458,178,165,38
1780507445576,176,167,41
1780507446300,179,163,36
1780507446712,182,161,33
