timestamp_ms,x,y,radius
1780507414827,142,170,62
1780507414936,179,68,66
1780507415051,197,65,79
1780507415157,196,65,79
1780507415264,173,71,70
1780507415454,194,68,77
1780507415559,91,51,67
1780507415663,179,75,67
1780507415854,176,64,62
1780507415960,178,75,66
1780507416064,193,64,79
1780507416256,193,64,79
1780507416363,208,153,79
1780507416568,177,70,61
1780507416677,141,176,57
1780507416779,163,63,58
1780507416884,145,176,58
1780507417074,170,163,77
1780507417179,127,161,57
1780507417279,146,170,65
1780507417475,185,71,59
1780507417582,172,161,78
1780507417782,194,103,57
1780507417885,98,122,79
1780507418079,141,98,71
1780507418190,125,157,73
1780507418395,151,143,66
1780507418497,101,181,62
1780507418607,136,159,79
1780507418805,152,149,75
1780507418914,128,94,78
1780507419034,149,154,70
1780507419135,142,158,79
1780507419325,161,160,66
1780507419434,153,161,79
1780507419635,154,170,77
1780507419738,161,173,65
1780507419931,169,170,63
1780507420037,152,175,79
1780507420139,176,177,57
1780507420331,167,176,61
1780507420434,112,181,59
1780507420538,169,172,63
1780507420732,104,173,62
1780507420836,164,171,63
1780507420941,163,175,62
1780507421139,110,171,63
1780507421242,113,83,78
1780507421442,170,181,57
1780507421546,149,175,75
1780507421727,109,178,58
1780507421834,167,170,57
1780507421940,111,199,65
1780507422142,105,175,59
1780507422247,159,167,63
1780507422355,104,176,65
1780507422458,157,172,66
1780507422649,104,178,66
1780507422755,105,187,55
1780507422957,153,172,61
1780507423154,103,173,69
1780507423355,94,194,67
1780507423468,161,177,59
1780507423673,152,171,65
1780507423798,171,179,57
1780507423927,161,166,63
1780507424127,157,164,63
1780507424334,106,182,55
1780507424538,97,190,61
1780507424642,154,165,59
1780507424747,129,119,66
