timestamp_ms,x,y,radius
1780522861004,98,190,46
1780522861197,139,67,71
1780522861307,93,158,70
1780522861408,141,63,73
1780522861605,139,67,71
1780522861705,112,179,49
1780522861902,181,157,44
1780522862003,70,101,31
1780522862206,134,69,69
1780522862307,139,67,73
1780522862514,135,81,75
1780522862625,245,145,73
1780522862812,141,76,78
1780522862914,137,67,71
1780522863019,139,80,79
1780522863217,137,67,71
1780522863415,236,139,74
1780522863529,230,146,79
1780522863727,139,67,73
1780522863829,139,65,71
1780522864023,146,68,79
1780522864127,139,67,73
1780522864327,139,71,74
1780522864430,134,69,69
1780522864628,88,161,75
1780522864834,139,71,74
1780522865026,91,161,74
1780522865127,142,73,78
1780522865323,130,70,66
1780522865429,142,65,74
1780522865627,187,171,50
1780522865728,124,70,61
1780522865828,137,70,74
