timestamp_ms,x,y,radius
1780506805005,238,99,66
1780506805320,152,161,77
1780506805429,151,161,77
1780506805539,103,172,42
1780506805639,247,127,37
1780506805832,151,155,75
1780506806031,155,159,66
1780506806146,146,157,50
1780506806275,145,158,34
1780506806386,149,153,75
1780506806486,203,197,33
1780506806588,149,159,70
1780506806791,151,155,74
1780506806990,154,159,66
1780506807094,182,136,31
1780506807287,101,171,43
1780506807391,188,147,31
1780506807494,153,158,66
1780506807602,143,157,50
1780506807791,142,154,50
1780506807894,142,164,40
1780506808002,145,154,52
1780506808201,143,154,35
1780506808398,100,166,42
1780506808554,147,155,78
1780506808741,189,148,35
1780506808849,164,158,69
1780506808954,149,169,49
1780506809055,148,157,73
1780506809156,145,164,42
1780506809357,178,139,46
1780506809552,146,157,35
1780506809655,184,133,37
1780506809858,272,173,36
1780506810060,145,155,50
1780506810260,185,147,34
1780506810476,149,153,74
1780506810580,101,169,43
1780506810688,184,146,42
1780506810797,247,124,37
1780506810982,143,155,34
1780506811084,183,135,31
1780506811188,187,143,40
1780506811291,149,157,70
1780506811392,100,167,42
1780506811586,143,155,49
1780506811789,140,167,45
1780506811889,145,158,37
1780506811990,101,167,43
1780506812195,143,155,35
1780506812393,247,127,34
1780506812495,179,134,31
1780506812601,185,147,33
1780506812707,153,155,73
1780506812915,176,137,36
1780506813016,148,154,75
1780506813122,151,153,74
1780506813318,135,166,43
1780506813523,143,153,34
1780506813624,146,154,51
1780506813819,188,146,34
1780506814019,146,157,37
1780506814122,164,157,67
1780506814229,148,154,79
1780506814430,249,127,37
1780506814618,190,135,36
1780506814738,155,158,70
1780506814883,253,127,35
