timestamp_ms,x,y,radius
1780506483973,63,238,40
1780506484076,247,164,45
1780506484176,251,166,39
1780506484292,253,167,37
1780506484539,253,169,37
1780506484730,253,169,37
1780506484833,253,170,37
1780506484942,159,237,47
1780506485053,92,217,40
1780506485162,201,213,25
1780506485297,39,191,30
1780506485442,97,224,39
1780506485563,77,157,47
1780506485664,35,196,28
1780506485765,95,229,42
1780506485873,253,171,39
1780506485976,38,194,30
1780506486096,203,220,30
1780506486205,201,224,32
1780506486401,38,194,30
1780506486551,157,238,48
1780506486668,249,171,38
1780506486780,93,223,43
1780506486979,37,199,28
1780506487086,97,225,38
1780506487287,203,224,34
1780506487408,203,215,34
1780506487516,104,50,37
1780506487653,236,167,42
1780506487801,245,181,38
1780506487921,236,164,57
1780506488021,97,232,43
1780506488217,191,226,26
1780506488324,241,175,38
1780506488439,241,171,38
1780506488659,106,227,51
1780506488833,173,235,53
1780506488961,208,184,62
1780506489078,202,166,75
1780506489186,160,154,69
1780506489302,165,139,74
1780506489580,178,115,73
1780506489835,173,106,79
1780506490144,127,158,79
1780506490410,200,80,75
1780506490539,82,151,79
1780506490728,151,139,79
1780506490856,122,74,79
1780506491033,26,133,73
1780506491201,187,73,73
1780506491387,212,113,73
1780506491533,88,104,67
1780506491678,160,61,75
1780506491820,77,109,61
1780506491965,74,116,63
1780506492132,73,111,63
1780506492279,70,116,61
1780506492425,171,91,51
1780506492557,136,64,62
1780506492683,85,99,63
1780506492802,130,91,77
1780506492982,118,94,79
1780506493115,113,92,74
1780506493297,112,93,73
1780506493521,113,94,75
1780506493681,83,100,62
1780506493822,112,93,73
