timestamp_ms,x,y,radius
1780507778056,225,175,78
1780507778210,133,137,70
1780507778452,129,167,78
1780507778674,82,152,66
1780507778868,88,130,63
1780507778971,134,167,75
1780507779098,135,167,71
1780507779291,134,137,69
1780507779399,249,172,66
1780507779499,211,165,75
1780507779702,129,166,78
1780507779802,83,154,66
1780507779905,85,131,62
1780507780106,88,155,70
1780507780306,129,166,74
1780507780428,127,167,78
1780507780557,140,127,65
1780507780672,133,167,70
1780507780793,130,166,74
1780507781010,134,127,71
1780507781119,82,151,62
