timestamp_ms,x,y,radius
1780522592829,91,163,75
1780522592940,133,74,79
1780522593041,185,169,79
1780522593166,98,182,27
1780522593314,137,71,74
1780522593454,134,211,28
1780522593620,61,122,33
1780522593759,98,182,27
1780522593910,88,163,53
1780522594056,95,184,30
1780522594204,86,161,50
1780522594357,81,171,46
1780522594506,95,184,30
1780522594655,95,184,30
1780522594809,98,182,54
1780522594957,83,172,62
1780522595107,95,184,30
1780522595259,87,167,46
1780522595408,101,179,57
1780522595555,98,182,54
1780522595709,88,166,45
1780522595857,92,166,42
1780522596010,88,163,53
1780522596155,88,163,53
1780522596310,87,167,46
1780522596465,88,160,39
1780522596611,137,74,75
1780522596760,101,179,57
1780522596915,88,164,53
1780522597071,95,184,30
1780522597205,95,184,30
1780522597356,101,177,59
1780522597517,137,71,74
1780522597661,87,167,46
1780522597816,91,161,77
