timestamp_ms,x,y,radius
1780507784490,131,167,74
1780507784624,134,129,73
1780507784732,86,155,66
1780507784835,85,154,65
1780507785022,92,163,75
1780507785124,76,125,61
1780507785232,135,169,71
1780507785338,85,164,63
1780507785528,130,167,78
1780507785650,87,133,62
1780507785783,170,155,69
1780507785895,129,167,78
1780507786090,133,167,75
1780507786193,130,167,78
1780507786394,85,143,71
1780507786598,129,167,78
1780507786698,129,167,78
1780507786801,92,164,79
1780507786999,142,127,64
1780507787102,142,130,65
1780507787298,85,140,69
1780507787402,130,166,78
