timestamp_ms,x,y,radius
1780523935053,203,87,71
1780523935333,137,62,69
1780523935446,135,65,73
1780523935636,139,59,69
1780523935737,131,76,33
1780523935859,137,64,69
1780523936049,131,76,70
1780523936251,248,145,55
1780523936354,139,65,74
1780523936552,135,65,73
1780523936653,134,69,68
1780523936856,135,65,73
1780523936960,135,65,73
1780523937159,137,69,73
1780523937357,223,64,74
1780523937559,137,63,69
1780523937762,134,64,57
1780523937955,129,74,35
1780523938064,107,79,48
1780523938262,139,67,73
1780523938463,137,62,77
1780523938663,248,152,70
1780523938866,135,64,67
1780523939072,133,69,69
1780523939268,131,70,70
1780523939468,145,70,79
1780523939568,134,64,73
1780523939673,140,67,74
1780523939774,137,62,69
1780523939970,136,70,75
1780523940072,122,68,37
1780523940175,104,71,43
1780523940286,134,69,69
1780523940486,249,147,74
1780523940684,139,67,73
1780523940886,136,64,69
