timestamp_ms,x,y,radius
1780509396037,130,92,79
1780509396327,152,62,79
1780509396618,128,91,77
1780509396766,125,137,78
1780509396928,131,93,78
1780509397080,259,67,77
1780509397272,81,166,70
1780509397439,151,46,78
1780509397620,137,82,79
1780509397788,119,146,77
1780509397954,128,146,73
1780509398101,133,95,79
1780509398255,154,46,77
1780509398408,76,158,73
1780509398564,125,143,75
1780509398773,129,135,77
1780509398941,79,155,74
1780509399103,82,158,74
1780509399272,133,140,71
1780509399442,136,143,67
1780509399613,85,166,69
1780509399773,135,89,79
1780509399907,125,151,74
1780509400049,128,92,79
1780509400191,119,140,78
1780509400338,236,91,78
1780509400490,86,179,78
1780509400592,92,166,74
1780509400802,113,160,77
1780509401041,80,153,79
1780509401157,81,83,79
1780509401358,101,93,53
1780509401459,106,45,40
1780509401560,80,43,37
1780509401752,68,49,41
1780509401876,89,59,46
1780509402073,33,46,22
1780509402797,188,70,61
1780509402913,177,175,67
1780509403015,193,172,79
1780509403132,178,154,79
1780509403269,194,76,69
1780509403378,195,163,73
1780509403580,193,172,79
1780509403786,193,172,79
1780509403888,208,71,62
1780509403995,194,76,67
1780509404100,197,177,79
1780509404203,195,77,71
1780509404402,193,172,79
1780509404606,188,167,73
1780509404806,163,71,74
1780509404915,188,167,73
1780509405018,189,169,71
1780509405216,193,172,79
1780509405556,193,75,70
1780509405662,189,70,69
1780509405861,193,172,79
1780509405962,163,71,74
