timestamp_ms,x,y,radius
1780507731049,125,176,74
1780507731152,127,145,67
1780507731370,165,121,32
1780507731475,165,128,36
1780507731645,165,127,34
1780507731749,163,127,35
1780507731870,151,131,48
1780507732072,163,124,33
1780507732172,160,119,35
1780507732362,159,127,37
1780507732472,175,129,46
1780507732573,161,127,35
1780507732677,163,123,33
1780507732870,163,124,33
1780507732972,149,145,43
1780507733072,163,129,36
1780507733272,161,127,35
1780507733375,161,124,35
1780507733576,163,128,35
1780507733784,163,128,35
1780507733990,163,124,33
