timestamp_ms,x,y,radius
1780509454487,153,149,79
1780509454667,163,145,79
1780509454831,155,147,79
1780509454997,177,172,79
1780509455140,160,145,79
1780509455274,149,149,79
1780509455419,159,146,78
1780509455522,146,152,79
1780509455623,121,147,77
1780509455726,110,142,75
1780509455923,101,95,79
1780509456033,121,167,69
1780509456225,88,159,73
1780509456419,105,184,63
1780509456625,212,154,71
1780509456824,212,82,62
1780509457020,110,100,57
1780509457120,67,75,30
1780509457226,254,47,40
1780509457429,71,56,30
1780509457730,235,101,47
1780509457837,100,70,61
1780509458229,235,177,43
1780509458635,63,123,59
1780509458743,164,157,70
1780509458858,155,103,78
1780509458981,188,176,74
1780509459111,205,113,73
1780509459236,207,101,78
1780509459396,211,103,79
1780509459580,194,122,79
1780509459761,157,97,78
1780509459916,152,97,79
1780509460075,161,112,79
1780509460215,212,112,73
1780509460350,205,100,79
1780509460483,205,101,79
1780509460745,206,101,79
1780509460870,206,103,78
1780509460994,158,100,74
1780509461122,189,73,75
1780509461250,163,116,79
1780509461369,205,100,79
1780509461488,152,95,79
1780509461623,152,95,79
1780509461785,209,105,79
1780509461909,151,97,79
1780509462037,169,118,79
1780509462162,212,106,74
1780509462292,55,117,77
1780509462412,68,98,79
1780509462564,205,101,79
1780509462696,137,75,79
1780509462820,160,109,75
1780509462940,68,98,79
1780509463058,170,121,79
1780509463184,57,116,78
1780509463315,170,116,79
1780509463442,68,98,79
1780509463568,137,74,79
1780509463685,137,75,79
1780509463809,68,98,79
1780509463956,205,100,79
1780509464081,214,101,78
1780509464205,139,71,79
1780509464330,215,100,79
