timestamp_ms,x,y,radius
1780525062231,50,65,47
1780525062426,49,68,45
1780525062625,49,67,38
1780525062727,50,65,47
1780525062835,124,57,40
1780525063029,124,57,40
1780525063229,124,59,42
1780525063430,91,38,31
1780525063531,50,64,37
1780525063731,51,63,49
1780525063929,125,61,35
1780525064031,124,58,36
1780525064131,124,56,42
1780525064232,124,58,36
1780525064434,124,55,38
1780525064633,50,65,47
1780525064733,124,57,36
1780525064834,124,58,36
1780525065035,124,57,36
1780525065236,124,59,38
1780525065337,124,57,36
1780525065440,50,67,46
1780525065540,49,68,45
1780525065641,124,56,39
1780525065841,106,67,45
1780525066045,106,67,33
1780525066242,47,70,42
1780525066343,124,59,37
1780525066542,125,61,35
1780525066645,49,67,45
1780525066843,124,57,40
1780525066946,107,44,46
1780525067143,50,67,45
1780525067246,49,67,45
1780525067445,49,67,46
1780525067553,124,57,36
1780525067746,50,67,46
1780525067849,106,49,54
1780525068050,50,67,46
1780525068252,125,62,35
1780525068449,125,59,35
1780525068650,124,59,36
1780525068850,124,57,40
1780525068951,123,55,37
1780525069052,50,65,47
1780525069156,106,43,55
1780525069353,106,49,54
1780525069455,106,43,55
1780525069556,106,49,54
1780525069835,50,67,46
1780525070031,115,80,38
1780525070227,38,39,15
1780525070330,124,59,37
1780525070433,125,61,35
1780525070535,106,67,27
1780525070729,125,62,35
1780525070830,118,70,37
1780525070931,124,57,36
1780525071132,47,70,41
1780525071238,123,55,38
1780525071431,125,61,46
1780525071533,49,67,45
1780525071736,124,58,36
1780525071938,125,61,35
1780525072141,124,58,38
