timestamp_ms,x,y,radius
1780507741982,229,117,79
1780507742106,116,183,73
1780507742232,161,123,33
1780507742335,149,194,44
1780507742511,159,127,36
1780507742614,155,140,34
1780507742716,155,141,34
1780507742923,154,141,33
1780507743057,153,122,27
1780507743161,151,129,41
1780507743365,82,145,47
1780507743469,145,131,48
1780507743663,145,131,48
1780507743866,159,127,34
1780507743970,146,134,49
1780507744167,157,128,39
1780507744271,157,123,28
1780507744474,161,130,34
1780507744751,159,130,35
1780507744853,157,143,33
